ID,ID_inline,Plant,Repetition,Concentration,Shoot_length_1,Shoot_length_2,Shoot_length_3,Shoot_length_4,Shoot_length_5,Shoot_length_6,Shoot_length_8,Shoot_length_10,Shoot_length_11,Shoot_length_14,germination_1,germination_2,germination_3,germination_4,germination_5,germination_6,germination_8,germination_10,germination_11,germination_14
39,19,jeczmien,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
40,20,jeczmien,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
41,1,jeczmien,1,100,0.00,0.00,0.00,0.50,0.50,0.00,0.00,0.60,0.60,1.00,no,no,no,yes,yes,no,no,yes,yes,yes
42,2,jeczmien,1,100,0.00,0.00,0.00,0.50,0.50,0.00,0.00,0.60,0.60,1.00,no,no,no,yes,yes,no,no,yes,yes,yes
43,3,jeczmien,1,100,0.00,0.00,0.00,0.50,0.50,0.00,0.00,0.60,0.60,0.60,no,no,no,yes,yes,no,no,yes,yes,yes
44,4,jeczmien,1,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.30,0.00,no,no,no,no,no,no,no,yes,yes,no
45,5,jeczmien,1,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,no,no,no,no,no,no,no,yes,no,no
46,6,jeczmien,1,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,no,no,no,no,no,no,no,yes,no,no
47,7,jeczmien,1,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
48,8,jeczmien,1,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
49,9,jeczmien,1,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
50,10,jeczmien,1,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
51,11,jeczmien,1,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
52,12,jeczmien,1,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
53,13,jeczmien,1,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
54,14,jeczmien,1,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
55,15,jeczmien,1,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
56,16,jeczmien,1,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
57,17,jeczmien,1,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
58,18,jeczmien,1,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
59,19,jeczmien,1,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
60,20,jeczmien,1,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
61,1,jeczmien,2,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,no,no,no,no,no,no,no,no,no,yes
62,2,jeczmien,2,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,no,no,no,no,no,no,no,no,no,yes
63,3,jeczmien,2,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
64,4,jeczmien,2,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
65,5,jeczmien,2,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
66,6,jeczmien,2,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
67,7,jeczmien,2,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
68,8,jeczmien,2,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
69,9,jeczmien,2,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
70,10,jeczmien,2,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
71,11,jeczmien,2,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
72,12,jeczmien,2,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
73,13,jeczmien,2,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
74,14,jeczmien,2,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
75,15,jeczmien,2,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
76,16,jeczmien,2,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
77,17,jeczmien,2,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
78,18,jeczmien,2,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
79,19,jeczmien,2,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
80,20,jeczmien,2,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
81,1,jeczmien,1,50,0.00,0.00,0.10,0.50,0.50,0.50,0.50,1.00,1.10,1.10,no,no,yes,yes,yes,yes,yes,yes,yes,yes
82,2,jeczmien,1,50,0.00,0.00,0.00,0.50,0.50,0.50,0.50,1.00,1.10,1.10,no,no,no,yes,yes,yes,yes,yes,yes,yes
83,3,jeczmien,1,50,0.00,0.00,0.00,0.50,0.50,0.50,0.50,1.00,1.10,0.50,no,no,no,yes,yes,yes,yes,yes,yes,yes
84,4,jeczmien,1,50,0.00,0.00,0.00,0.50,0.50,0.50,0.50,0.30,0.30,0.50,no,no,no,yes,yes,yes,yes,yes,yes,yes
85,5,jeczmien,1,50,0.00,0.00,0.00,0.50,0.50,0.50,0.50,0.30,0.30,0.00,no,no,no,yes,yes,yes,yes,yes,yes,no
86,6,jeczmien,1,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,no,no,no,no,no,no,no,yes,no,no
87,7,jeczmien,1,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,no,no,no,no,no,no,no,yes,no,no
88,8,jeczmien,1,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,no,no,no,no,no,no,no,yes,no,no
89,9,jeczmien,1,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,no,no,no,no,no,no,no,yes,no,no
90,10,jeczmien,1,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
91,11,jeczmien,1,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
92,12,jeczmien,1,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
93,13,jeczmien,1,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
94,14,jeczmien,1,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
95,15,jeczmien,1,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
96,16,jeczmien,1,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
97,17,jeczmien,1,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
98,18,jeczmien,1,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
99,19,jeczmien,1,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
100,20,jeczmien,1,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
101,1,jeczmien,2,50,0.00,0.00,0.10,0.50,0.50,0.50,1.00,2.00,1.50,4.00,no,no,yes,yes,yes,yes,yes,yes,yes,yes
102,2,jeczmien,2,50,0.00,0.00,0.10,0.50,0.50,0.50,0.00,1.50,1.50,3.00,no,no,yes,yes,yes,yes,no,yes,yes,yes
103,3,jeczmien,2,50,0.00,0.00,0.10,0.50,0.50,0.50,0.00,1.00,1.00,2.50,no,no,yes,yes,yes,yes,no,yes,yes,yes
104,4,jeczmien,2,50,0.00,0.00,0.10,0.50,0.50,0.50,0.00,1.00,1.00,2.50,no,no,yes,yes,yes,yes,no,yes,yes,yes
105,5,jeczmien,2,50,0.00,0.00,0.10,0.50,0.50,0.50,0.00,1.00,1.00,1.50,no,no,yes,yes,yes,yes,no,yes,yes,yes
106,6,jeczmien,2,50,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.30,0.00,0.50,no,no,no,no,yes,no,no,yes,no,yes
107,7,jeczmien,2,50,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.30,0.00,0.00,no,no,no,no,yes,no,no,yes,no,no
108,8,jeczmien,2,50,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.30,0.00,0.00,no,no,no,no,yes,no,no,yes,no,no
109,9,jeczmien,2,50,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.30,0.00,0.00,no,no,no,no,yes,no,no,yes,no,no
110,10,jeczmien,2,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,no,no,no,no,no,no,no,yes,no,no
111,11,jeczmien,2,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,no,no,no,no,no,no,no,yes,no,no
112,12,jeczmien,2,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,no,no,no,no,no,no,no,yes,no,no
113,13,jeczmien,2,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,no,no,no,no,no,no,no,yes,no,no
114,14,jeczmien,2,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
115,15,jeczmien,2,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
116,16,jeczmien,2,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
117,17,jeczmien,2,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
118,18,jeczmien,2,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
