ID,ID_inline,Plant,Repetition,Concentration,Shoot_length_1,Shoot_length_2,Shoot_length_3,Shoot_length_4,Shoot_length_5,Shoot_length_6,Shoot_length_8,Shoot_length_10,Shoot_length_11,Shoot_length_14,germination_1,germination_2,germination_3,germination_4,germination_5,germination_6,germination_8,germination_10,germination_11,germination_14,
32,12,rzeżucha,2,0,0.00,1.00,2.00,2.00,3.00,4.00,4.00,4.00,4.00,4.00,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,
33,13,rzeżucha,2,0,0.00,1.00,2.00,1.50,3.00,4.00,4.00,4.00,5.50,4.00,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,
34,14,rzeżucha,2,0,0.00,1.00,2.00,1.50,3.00,3.00,4.00,4.00,4.50,4.00,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,
35,15,rzeżucha,2,0,0.00,1.00,2.00,1.50,3.00,3.00,3.50,4.50,4.50,1.50,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,
36,16,rzeżucha,2,0,0.00,0.00,0.00,1.50,1.50,1.50,3.50,5.00,4.50,2.00,no,no,no,yes,yes,yes,yes,yes,yes,yes,
37,17,rzeżucha,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.50,4.50,no,no,no,no,no,no,no,no,yes,yes,
38,18,rzeżucha,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
39,19,rzeżucha,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
40,20,rzeżucha,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
41,1,rzeżucha,1,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
42,2,rzeżucha,1,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
43,3,rzeżucha,1,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
44,4,rzeżucha,1,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
45,5,rzeżucha,1,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
46,6,rzeżucha,1,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
47,7,rzeżucha,1,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
48,8,rzeżucha,1,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
49,9,rzeżucha,1,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
50,10,rzeżucha,1,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
51,11,rzeżucha,1,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
52,12,rzeżucha,1,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
53,13,rzeżucha,1,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
54,14,rzeżucha,1,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
55,15,rzeżucha,1,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
56,16,rzeżucha,1,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
57,17,rzeżucha,1,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
58,18,rzeżucha,1,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
59,19,rzeżucha,1,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
60,20,rzeżucha,1,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
61,1,rzeżucha,2,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
62,2,rzeżucha,2,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
63,3,rzeżucha,2,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
64,4,rzeżucha,2,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
65,5,rzeżucha,2,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
66,6,rzeżucha,2,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
67,7,rzeżucha,2,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
68,8,rzeżucha,2,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
69,9,rzeżucha,2,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
